From Timestamp,HH Electricity (kWh),HH Cooling (kWh),HH Boiler (kWh),DE Electricity (kWh),DE Boiler (kWh)
2018-01-08 06:30:00,15.7,0.45899999999999996,0.3,,2.2
2018-01-08 07:00:00,14.4,0.5645,8.0,,3.1
2018-01-08 07:30:00,15.3,0.4951,386.2,,4.3
2018-01-08 08:00:00,20.0,0.5439,253.3,,4.1000000000000005
2018-01-08 08:30:00,20.1,0.6064,127.7,,2.6
2018-01-08 09:00:00,23.6,0.6426,164.20000000000005,,1.1
2018-01-08 09:30:00,26.6,0.6191,138.7,,0.1
2018-01-08 10:00:00,27.0,0.5527,121.0,,0.0
2018-01-08 10:30:00,28.9,0.6807,165.9,,1.6
2018-01-08 11:00:00,30.4,0.6406,95.1,,440.1
2018-01-08 11:30:00,31.7,0.5908,129.6,,151.79999999999995
2018-01-08 12:00:00,31.7,0.5762,152.5,,95.0
2018-01-08 12:30:00,30.8,0.7168,93.9,,120.8
2018-01-08 13:00:00,31.09,0.6357,143.6,,129.89999999999998
2018-01-08 13:30:00,29.91,0.6777,129.8,,128.8
2018-01-08 14:00:00,30.3,0.6406,94.9,,127.7
2018-01-08 14:30:00,31.1,0.6396,152.5,,124.0
2018-01-08 15:00:00,30.0,0.6455,104.2,,122.3
2018-01-08 15:30:00,28.3,0.6543,103.2,,122.3
2018-01-08 16:00:00,28.2,0.6387,154.0,,118.4
2018-01-08 16:30:00,27.2,0.6123,98.1,,108.0
2018-01-08 17:00:00,27.1,0.6973,103.9,,107.4
2018-01-08 17:30:00,25.1,0.7861,156.79999999999995,,102.2
2018-01-08 18:00:00,22.8,0.71,18.3,,88.0
2018-01-08 18:30:00,19.5,0.6953,5.1000000000000005,,24.6
2018-01-08 19:00:00,18.5,0.6064,0.7,,23.4
2018-01-08 19:30:00,17.41,0.6211,4.6,,70.7
2018-01-08 20:00:00,17.3,0.6074,2.6,,22.700000000000006
2018-01-08 20:30:00,16.7,0.6553,1.5,,23.9
2018-01-08 21:00:00,16.3,0.7109,4.2,,70.1
2018-01-08 21:30:00,15.1,0.6094,0.8,,22.9
2018-01-08 22:00:00,13.8,0.5947,3.5,,22.700000000000006
2018-01-08 22:30:00,14.8,0.5664,2.9,,72.9
2018-01-08 23:00:00,13.5,0.6396,1.2,,23.4
2018-01-08 23:30:00,13.9,0.5361,3.8,,20.8
2018-01-09 00:00:00,13.5,0.6201,2.0,,73.6
2018-01-09 00:30:00,13.6,0.5596,2.0,,23.3
2018-01-09 01:00:00,14.0,0.5918,4.0,,20.9
2018-01-09 01:30:00,13.2,0.5752,0.8,,72.8
2018-01-09 02:00:00,13.1,0.585,3.6,,23.1
2018-01-09 02:30:00,13.1,0.6484,2.9,,20.9
2018-01-09 03:00:00,13.6,0.5429999999999999,1.2,,75.30000000000003
2018-01-09 03:30:00,13.8,0.6211,4.3,,23.7
2018-01-09 04:00:00,14.0,0.6367,0.1,,21.1
2018-01-09 04:30:00,13.0,0.6807,8.9,,73.5
2018-01-09 05:00:00,13.8,0.4824,1.5,,65.69999999999999
2018-01-09 05:30:00,14.5,0.6064,8.4,,101.9
2018-01-09 06:00:00,14.3,0.5537,16.6,,101.2
2018-01-09 06:30:00,16.2,0.501,2.8,,102.5
2018-01-09 07:00:00,16.91,0.5527,1.7,,64.10000000000001
2018-01-09 07:30:00,17.5,0.6035,378.8,,80.19999999999997
2018-01-09 08:00:00,21.5,0.5762,241.9,,108.8
2018-01-09 08:30:00,22.59,0.5742,122.9,,115.5
2018-01-09 09:00:00,23.1,0.5527,157.5,,131.5
2018-01-09 09:30:00,26.1,0.6416,118.6,,130.6
2018-01-09 10:00:00,25.5,0.6094,110.4,,128.20000000000002
